USPS,GEOID,ANSICODE,NAME,ALAND,AWATER,ALAND_SQMI,AWATER_SQMI
IL,17111,1784815,McHenry County,1562818741,19869602,603.408,7.672
IL,17113,1784833,McLean County,3064559693,7853695,1183.233,3.032
IL,17115,424256,Macon County,1503684098,13406667,580.576,5.176
IL,17117,424257,Macoupin County,2234952036,12252472,862.92,4.731
IL,17119,424258,Madison County,1854559319,63450780,716.049,24.498
IL,17121,424259,Marion County,1482641176,9301714,572.451,3.591
IL,17123,424260,Marshall County,1001866831,30364348,386.823,11.724
IL,17125,424261,Mason County,1396795583,62748510,539.306,24.227
IL,17127,1784730,Massac County,614391204,11903726,237.218,4.596
IL,17129,424266,Menard County,814394259,2640418,314.439,1.019
IL,17131,1784750,Mercer County,1453497670,19409929,561.199,7.494
IL,17133,1784865,Monroe County,997908512,33784324,385.295,13.044
IL,17135,1784866,Montgomery County,1822450014,15512963,703.652,5.99
IL,17137,424270,Morgan County,1473180230,9059958,568.798,3.498
IL,17139,1784885,Moultrie County,870123798,22102741,335.957,8.534
IL,17141,1784894,Ogle County,1964742119,11425028,758.591,4.411
IL,17143,1784920,Peoria County,1602352656,30706564,618.672,11.856
IL,17145,1784940,Perry County,1144157907,13416186,441.762,5.18
IL,17147,424275,Piatt County,1137399517,755574,439.152,0.292
IL,17149,1784941,Pike County,2153325386,45283711,831.404,17.484
IL,17151,424277,Pope County,955109665,14328524,368.77,5.532
IL,17153,1784966,Pulaski County,515887463,10473575,199.185,4.044
IL,17155,424279,Putnam County,414659150,31195045,160.101,12.044
IL,17157,1784967,Randolph County,1490060417,56152454,575.316,21.681
IL,17159,424281,Richland County,932537547,4874777,360.055,1.882
IL,17161,424282,Rock Island County,1106960127,61870420,427.4,23.888
IL,17163,1784987,St. Clair County,1703509128,42001352,657.729,16.217
IL,17165,424283,Saline County,983905217,18001305,379.888,6.95
IL,17167,1785010,Sangamon County,2248877362,22577724,868.296,8.717
IL,17169,1785037,Schuyler County,1132511778,10511618,437.265,4.059
IL,17171,424286,Scott County,649861225,4812707,250.913,1.858
IL,17173,1785051,Shelby County,1964543080,24746071,758.514,9.555
IL,17175,424288,Stark County,745984521,708705,288.026,0.274
IL,17177,1785076,Stephenson County,1462219648,1350223,564.566,0.521
IL,17179,1785094,Tazewell County,1674222062,29832978,646.421,11.519
IL,17181,1785113,Union County,1070856127,22502069,413.46,8.688
IL,17183,1785114,Vermilion County,2326560311,7531159,898.29,2.908
IL,17185,424293,Wabash County,578264185,10973558,223.269,4.237
IL,17187,1785134,Warren County,1404747944,1674135,542.376,0.646
IL,17189,1785150,Washington County,1457059688,3456567,562.574,1.335
IL,17191,424296,Wayne County,1848948304,4224962,713.883,1.631
IL,17193,424297,White County,1281491812,18346746,494.787,7.084
IL,17195,1785167,Whiteside County,1772158753,31836569,684.234,12.292
IL,17197,1785190,Will County,2164927644,34548925,835.883,13.339
IL,17199,1785215,Williamson County,1088263100,62602559,420.181,24.171
IL,17201,1785216,Winnebago County,1329234270,15455847,513.22,5.968
IL,17203,1785231,Woodford County,1366946108,38461366,527.781,14.85
