Geographic Area Name,total_cases,total_fatalities,death_rate,total_tests
"Delaware County, New York",169.0,5.0,0.029585798816568046,26897
"Dutchess County, New York",5438.0,165.0,0.030342037513791834,212584
"Erie County, New York",12819.0,647.0,0.05047195569077151,532726
"Essex County, New York",197.0,14.0,0.07106598984771574,21975
"Franklin County, New York",79.0,1.0,0.012658227848101266,29115
"Fulton County, New York",361.0,28.0,0.07756232686980609,28501
"Genesee County, New York",380.0,6.0,0.015789473684210527,37482
"Greene County, New York",490.0,15.0,0.030612244897959183,24698
"Hamilton County, New York",16.0,1.0,0.0625,2611
"Herkimer County, New York",387.0,10.0,0.025839793281653745,45759
"Jefferson County, New York",202.0,1.0,0.0049504950495049506,43916
"Kings County, New York",74553.0,5110.0,0.06854184271592022,1680230
"Lewis County, New York",108.0,5.0,0.046296296296296294,12679
"Livingston County, New York",280.0,6.0,0.02142857142857143,34406
"Madison County, New York",559.0,9.0,0.016100178890876567,46267
"Monroe County, New York",7111.0,261.0,0.03670369849528899,510358
"Montgomery County, New York",261.0,9.0,0.034482758620689655,32332
"Nassau County, New York",49312.0,2209.0,0.04479639844256976,1022557
"New York County, New York",35723.0,23963.0,0.6708003247207681,1380309
"Niagara County, New York",2041.0,90.0,0.04409603135717785,121943
"Oneida County, New York",2681.0,127.0,0.047370384185005596,206811
"Onondaga County, New York",5309.0,185.0,0.034846487097381806,333823
"Ontario County, New York",644.0,29.0,0.04503105590062112,65976
"Orange County, New York",13457.0,419.0,0.03113621163706621,209293
"Orleans County, New York",393.0,55.0,0.13994910941475827,19929
"Oswego County, New York",616.0,4.0,0.006493506493506494,64166
"Otsego County, New York",390.0,4.0,0.010256410256410256,34827
"Putnam County, New York",1794.0,63.0,0.03511705685618729,59517
"Queens County, New York",76220.0,5137.0,0.06739700865914458,1483189
"Rensselaer County, New York",1080.0,42.0,0.03888888888888889,98880
"Richmond County, New York",17048.0,761.0,0.04463866729235101,357803
"Rockland County, New York",17685.0,512.0,0.028951088493073224,225139
"Saratoga County, New York",1308.0,15.0,0.011467889908256881,133855
"Schenectady County, New York",1546.0,48.0,0.031047865459249677,109760
"Schoharie County, New York",109.0,2.0,0.01834862385321101,12518
"Schuyler County, New York",116.0,2.0,0.017241379310344827,12437
"Seneca County, New York",140.0,2.0,0.014285714285714285,18649
"St. Lawrence County, New York",386.0,4.0,0.010362694300518135,81874
"Steuben County, New York",962.0,69.0,0.07172557172557173,48976
"Suffolk County, New York",48663.0,2019.0,0.04148942728561741,1034857
"Sullivan County, New York",1743.0,37.0,0.021227768215720023,36505
"Tioga County, New York",572.0,25.0,0.043706293706293704,29444
"Tompkins County, New York",603.0,0.0,0.0,403145
"Ulster County, New York",2471.0,84.0,0.0339943342776204,115675
"Warren County, New York",450.0,30.0,0.06666666666666667,37703
"Washington County, New York",332.0,14.0,0.04216867469879518,33683
"Wayne County, New York",448.0,3.0,0.006696428571428571,55940
"Westchester County, New York",40131.0,1471.0,0.03665495502230196,815163
