Geographic Area Name,sq_mi
"Sumter County, Florida",557.113
"Suwannee County, Florida",688.552
"Taylor County, Florida",1043.318
"Union County, Florida",243.55599999999998
"Volusia County, Florida",1101.243
"Wakulla County, Florida",606.418
"Walton County, Florida",1037.742
"Washington County, Florida",584.677
"Adams County, Illinois",855.1410000000001
"Alexander County, Illinois",235.521
"Bond County, Illinois",380.339
"Boone County, Illinois",280.762
"Brown County, Illinois",305.67900000000003
"Bureau County, Illinois",869.084
"Calhoun County, Illinois",253.825
"Carroll County, Illinois",445.043
"Cass County, Illinois",375.751
"Champaign County, Illinois",996.1089999999999
"Christian County, Illinois",709.492
"Clark County, Illinois",501.42900000000003
"Clay County, Illinois",468.27099999999996
"Clinton County, Illinois",474.004
"Coles County, Illinois",508.288
"Cook County, Illinois",944.935
"Crawford County, Illinois",443.61400000000003
"Cumberland County, Illinois",345.92
"DeKalb County, Illinois",631.344
"De Witt County, Illinois",397.55199999999996
"Douglas County, Illinois",416.665
"DuPage County, Illinois",327.727
"Edgar County, Illinois",623.385
"Edwards County, Illinois",222.419
"Effingham County, Illinois",478.755
"Fayette County, Illinois",716.4960000000001
"Ford County, Illinois",485.597
"Franklin County, Illinois",408.92
"Fulton County, Illinois",865.702
"Gallatin County, Illinois",322.99
"Greene County, Illinois",543.02
"Grundy County, Illinois",418.088
"Hamilton County, Illinois",434.634
"Hancock County, Illinois",793.7189999999999
"Hardin County, Illinois",177.472
"Henderson County, Illinois",378.789
"Henry County, Illinois",822.9989999999999
"Iroquois County, Illinois",1117.406
"Jackson County, Illinois",584.072
"Jasper County, Illinois",494.61400000000003
"Jefferson County, Illinois",571.207
"Jersey County, Illinois",369.286
"Jo Daviess County, Illinois",600.906
"Johnson County, Illinois",343.925
"Kane County, Illinois",519.359
"Kankakee County, Illinois",676.498
"Kendall County, Illinois",320.259
"Knox County, Illinois",716.439
"Lake County, Illinois",443.941
"LaSalle County, Illinois",1135.185
"Lawrence County, Illinois",372.17800000000005
"Lee County, Illinois",724.8439999999999
"Livingston County, Illinois",1043.627
"Logan County, Illinois",618.071
"McDonough County, Illinois",589.408
"McHenry County, Illinois",603.408
"McLean County, Illinois",1183.233
"Macon County, Illinois",580.576
"Macoupin County, Illinois",862.92
"Madison County, Illinois",716.049
"Marion County, Illinois",572.451
"Marshall County, Illinois",386.82300000000004
"Mason County, Illinois",539.306
"Massac County, Illinois",237.218
"Menard County, Illinois",314.439
"Mercer County, Illinois",561.1990000000001
"Monroe County, Illinois",385.295
"Montgomery County, Illinois",703.6519999999999
"Morgan County, Illinois",568.798
"Moultrie County, Illinois",335.957
"Ogle County, Illinois",758.591
"Peoria County, Illinois",618.672
"Perry County, Illinois",441.76199999999994
"Piatt County, Illinois",439.152
"Pike County, Illinois",831.404
"Pope County, Illinois",368.77
"Pulaski County, Illinois",199.185
"Putnam County, Illinois",160.101
"Randolph County, Illinois",575.316
"Richland County, Illinois",360.055
"Rock Island County, Illinois",427.4
"St. Clair County, Illinois",657.7289999999999
"Saline County, Illinois",379.88800000000003
"Sangamon County, Illinois",868.296
"Schuyler County, Illinois",437.265
"Scott County, Illinois",250.91299999999998
"Shelby County, Illinois",758.5139999999999
"Stark County, Illinois",288.026
"Stephenson County, Illinois",564.566
"Tazewell County, Illinois",646.4209999999999
"Union County, Illinois",413.46
"Vermilion County, Illinois",898.29
"Wabash County, Illinois",223.269
"Warren County, Illinois",542.376
"Washington County, Illinois",562.5740000000001
"Wayne County, Illinois",713.883
"White County, Illinois",494.787
"Whiteside County, Illinois",684.2339999999999
"Will County, Illinois",835.883
"Williamson County, Illinois",420.181
"Winnebago County, Illinois",513.22
"Woodford County, Illinois",527.781
"Albany County, New York",522.8290000000001
"Allegany County, New York",1029.36
"Bronx County, New York",42.05
"Broome County, New York",705.816
"Cattaraugus County, New York",1308.3519999999999
"Cayuga County, New York",691.5830000000001
"Chautauqua County, New York",1060.224
"Chemung County, New York",407.352
"Chenango County, New York",893.5930000000001
"Clinton County, New York",1037.754
"Columbia County, New York",634.663
"Cortland County, New York",498.773
"Delaware County, New York",1442.42
"Dutchess County, New York",795.6469999999999
"Erie County, New York",1042.724
"Essex County, New York",1794.118
"Franklin County, New York",1629.214
"Fulton County, New York",495.46
"Genesee County, New York",492.93699999999995
"Greene County, New York",647.161
"Hamilton County, New York",1717.376
"Herkimer County, New York",1411.515
"Jefferson County, New York",1268.6960000000001
"Kings County, New York",69.37100000000001
"Lewis County, New York",1274.642
"Livingston County, New York",631.762
"Madison County, New York",654.865
"Monroe County, New York",656.873
"Montgomery County, New York",403.11699999999996
"Nassau County, New York",284.59
"New York County, New York",22.656999999999996
"Niagara County, New York",522.3530000000001
"Oneida County, New York",1212.3310000000001
"Onondaga County, New York",778.387
"Ontario County, New York",644.044
"Orange County, New York",812.321
"Orleans County, New York",391.26300000000003
"Oswego County, New York",951.6439999999999
"Otsego County, New York",1001.727
"Putnam County, New York",230.32
"Queens County, New York",108.77799999999999
"Rensselaer County, New York",652.455
"Richmond County, New York",57.519
"Rockland County, New York",173.43599999999998
"St. Lawrence County, New York",2679.2690000000002
"Saratoga County, New York",809.9960000000001
"Schenectady County, New York",204.58
"Schoharie County, New York",621.819
"Schuyler County, New York",328.343
"Seneca County, New York",323.709
"Steuben County, New York",1390.549
"Suffolk County, New York",911.7769999999999
"Sullivan County, New York",968.137
"Tioga County, New York",518.61
"Tompkins County, New York",474.64099999999996
"Ulster County, New York",1124.236
"Warren County, New York",867.245
"Washington County, New York",831.1669999999999
"Wayne County, New York",603.8290000000001
"Westchester County, New York",430.56800000000004
"Wyoming County, New York",592.75
"Yates County, New York",338.14300000000003
