Geographic Area Name,obes_percent
"St. Clair County, Illinois",0.09
"Stark County, Illinois",0.05
"Stephenson County, Illinois",0.09
"Tazewell County, Illinois",0.08199999999999999
"Union County, Illinois",0.098
"Vermilion County, Illinois",0.109
"Wabash County, Illinois",0.087
"Warren County, Illinois",0.165
"Washington County, Illinois",0.061
"Wayne County, Illinois",0.18600000000000003
"White County, Illinois",0.064
"Whiteside County, Illinois",0.135
"Will County, Illinois",0.091
"Williamson County, Illinois",0.113
"Winnebago County, Illinois",0.095
"Woodford County, Illinois",0.096
"Albany County, New York",0.08800000000000001
"Allegany County, New York",0.09300000000000001
"Bronx County, New York",0.124
"Broome County, New York",0.08900000000000001
"Cattaraugus County, New York",0.11800000000000001
"Cayuga County, New York",0.09699999999999999
"Chautauqua County, New York",0.105
"Chemung County, New York",0.106
"Chenango County, New York",0.11
"Clinton County, New York",0.1
"Columbia County, New York",0.073
"Cortland County, New York",0.105
"Delaware County, New York",0.076
"Dutchess County, New York",0.081
"Erie County, New York",0.09699999999999999
"Essex County, New York",0.086
"Franklin County, New York",0.12
"Fulton County, New York",0.11800000000000001
"Genesee County, New York",0.111
"Greene County, New York",0.08900000000000001
"Hamilton County, New York",0.08900000000000001
"Herkimer County, New York",0.09
"Jefferson County, New York",0.109
"Kings County, New York",0.095
"Lewis County, New York",0.12
"Livingston County, New York",0.111
"Madison County, New York",0.09
"Monroe County, New York",0.081
"Montgomery County, New York",0.10400000000000001
"Nassau County, New York",0.07
"New York County, New York",0.066
"Niagara County, New York",0.11800000000000001
"Oneida County, New York",0.122
"Onondaga County, New York",0.1
"Ontario County, New York",0.087
"Orange County, New York",0.083
"Orleans County, New York",0.135
"Oswego County, New York",0.095
"Otsego County, New York",0.076
"Putnam County, New York",0.055999999999999994
"Queens County, New York",0.102
"Rensselaer County, New York",0.08800000000000001
"Richmond County, New York",0.098
"Rockland County, New York",0.07400000000000001
"Saratoga County, New York",0.076
"Schenectady County, New York",0.102
"Schoharie County, New York",0.09699999999999999
"Schuyler County, New York",0.09
"Seneca County, New York",0.11199999999999999
"St. Lawrence County, New York",0.102
"Steuben County, New York",0.113
"Suffolk County, New York",0.077
"Sullivan County, New York",0.096
"Tioga County, New York",0.096
"Tompkins County, New York",0.065
"Ulster County, New York",0.079
"Warren County, New York",0.075
"Washington County, New York",0.11699999999999999
"Wayne County, New York",0.11
"Westchester County, New York",0.067
"Wyoming County, New York",0.1
"Yates County, New York",0.113
