Geographic Area Name,sex_age_pop,sex_age_pop_male,sex_age_pop_female,sex_age_pop_under_5,sex_age_pop_5_to_9,sex_age_pop_10_to_14,sex_age_pop_15_to_19,sex_age_pop_20_to_24,sex_age_pop_25_to_34,sex_age_pop_35_to_44,sex_age_pop_45_to_54,sex_age_pop_55_to_59,sex_age_pop_60_to_64,sex_age_pop_65_to_74,sex_age_pop_75_to_84,sex_age_pop_85_and_over,sex_age_median_age_in_years
"Polk County, Texas",47837,25878,21959,2588,2638,2878,2707,2692,5478,5747,6363,3823,4015,5968,2196,744,43.6
"Refugio County, Texas",7236,3586,3650,470,438,501,569,358,753,751,889,524,433,874,463,213,41.9
"Caldwell County, Texas",41401,20893,20508,2577,2943,2606,3361,3419,5517,5119,5109,2834,2354,3347,1490,725,35.4
"Wilbarger County, Texas",12906,6347,6559,673,742,917,991,661,1865,1498,1486,1039,740,1329,767,198,37.8
"Reagan County, Texas",3752,1951,1801,264,397,314,272,222,559,552,375,240,207,169,99,82,31.4
"Hale County, Texas",34113,17751,16362,2392,2344,3045,2761,2678,4698,3986,4047,2033,1637,2418,1342,732,33.1
"Shelby County, Texas",25478,12572,12906,1781,1962,1917,1893,1605,2874,2922,3023,1669,1541,2393,1466,432,37.2
"Runnels County, Texas",10310,5233,5077,573,631,786,672,680,1047,1159,1234,661,740,1132,700,295,40.8
"San Jacinto County, Texas",27819,13718,14101,1542,1535,2038,1527,1398,2830,3153,3433,2133,2116,3873,1835,406,44.7
"Tom Green County, Texas",117466,58343,59123,8045,7575,8016,8791,9913,18429,12895,12734,7307,6300,9808,5225,2428,33.9
"Victoria County, Texas",91970,44999,46971,6568,6371,6729,6326,6150,12754,10914,10734,5638,5615,8163,3963,2045,35.7
"Waller County, Texas",49987,24869,25118,3371,3804,3205,5399,6604,5834,5034,5509,2916,2554,3697,1531,529,29.0
"Wichita County, Texas",131818,68325,63493,8617,8564,7984,10463,11987,19733,15035,14923,8612,7224,10103,5966,2607,34.3
"Wilson County, Texas",48198,24197,24001,2862,3042,3621,3489,2757,5428,5914,7037,3650,3169,4397,1782,1050,40.2
"Hockley County, Texas",23162,11428,11734,1558,1671,1822,1979,1778,3093,2659,2643,1487,1280,1809,923,460,33.5
"Maverick County, Texas",57970,28736,29234,5540,4796,4904,5194,4930,7450,6951,6309,2718,2582,3772,2245,579,29.6
"Midland County, Texas",164194,82543,81651,14261,13180,12007,10706,11559,28956,20904,17789,9523,8516,9254,5172,2367,31.7
"Live Oak County, Texas",12123,6634,5489,655,539,807,767,568,1783,1531,1396,814,840,1372,757,294,42.2
"Llano County, Texas",20640,10138,10502,796,886,811,715,870,1804,1431,2432,1363,2114,3982,2674,762,57.6
"Fannin County, Texas",34175,18034,16141,1722,1973,2259,2038,2131,4166,4038,4832,2381,2190,3623,1948,874,41.9
"Karnes County, Texas",15387,9133,6254,852,999,881,1167,1008,2859,2028,1723,920,800,1105,705,340,34.7
"Brazos County, Texas",219193,111074,108119,13546,11996,12633,21795,43936,35033,23625,19887,9539,8296,11177,5609,2121,26.2
"Cass County, Texas",30087,14692,15395,1482,1958,2162,1926,1420,3156,3314,3927,2148,2120,3653,2048,773,43.4
"Gaines County, Texas",20321,10320,10001,2190,1848,2152,1761,1228,2856,2395,2205,1117,804,972,545,248,27.9
"Gray County, Texas",22685,11903,10782,1641,1631,1617,1273,1414,3119,3021,2783,1538,1080,1862,1133,573,36.6
"Madison County, Texas",14128,8127,6001,648,978,948,565,1300,2721,1889,1597,608,812,1102,742,218,34.7
"Jack County, Texas",8842,4987,3855,493,449,577,647,603,1157,1171,1180,557,504,863,468,173,39.7
"Kendall County, Texas",41982,20415,21567,2138,2599,3124,3123,2249,3936,5123,5786,3238,2772,4557,2356,981,42.1
"Bosque County, Texas",18122,8935,9187,970,929,1294,1065,875,1725,1833,2292,1430,1281,2525,1377,526,46.7
"Bexar County, Texas",1925865,950030,975835,138622,138871,139171,139336,145695,305358,258061,234677,108990,93279,132567,65095,26143,33.4
"Bailey County, Texas",7092,3640,3452,491,655,408,550,581,940,926,715,366,460,494,416,90,33.5
"Baylor County, Texas",3591,1752,1839,178,264,208,176,236,272,354,467,348,216,438,335,99,47.3
"Cameron County, Texas",421750,204788,216962,35652,35812,36879,36264,31611,51385,52290,47020,21969,18687,30250,17532,6399,31.5
"Denton County, Texas",807047,397140,409907,52426,58124,59211,57237,53864,120505,125021,117565,49599,36830,50328,20174,6163,35.2
"Washington County, Texas",34796,17259,17537,2133,1924,2344,3063,2145,3348,3752,4018,2282,2548,3892,2112,1235,41.6
"Morris County, Texas",12424,5981,6443,708,814,852,745,632,1382,1491,1372,868,921,1397,891,351,43.0
"Stephens County, Texas",9372,4808,4564,479,700,552,730,489,1354,963,1049,603,660,975,498,320,38.6
