Geographic Area Name,inc_hhlds,inc_hhlds_less_than_10_000,inc_hhlds_10_000_to_14_999,inc_hhlds_15_000_to_24_999,inc_hhlds_25_000_to_34_999,inc_hhlds_35_000_to_49_999,inc_hhlds_50_000_to_74_999,inc_hhlds_75_000_to_99_999,inc_hhlds_100_000_to_149_999,inc_hhlds_150_000_to_199_999,inc_hhlds_200_000_or_more,inc_med_hhld_inc_dol,inc_mean_hhld_inc_dol,inc_per_capita_inc_dol,inc_med_earn_male_full_yr_workers_dol,inc_med_earn_female_full_yr_workers_dol
"Stanislaus County, California",172682,8860,8979,16576,17386,23456,32240,22512,25877,9042,7754,57387,75761,25101,49623,40569
"Tehama County, California",24025,1658,1774,3749,2885,3363,4385,2530,2258,776,647,42899,58939,23126,41083,32444
"San Benito County, California",17740,295,594,938,1125,1939,3198,2420,3849,1766,1616,81977,101057,31475,54753,42542
"El Dorado County, California",69172,2593,2436,5100,4889,6834,10639,8942,12881,6287,8571,80582,104895,40382,72312,53876
"San Francisco County, California",359673,18633,18570,22449,18507,23903,37920,33637,58516,40785,86753,104552,149265,64157,86240,73885
"Tulare County, California",136106,9449,9406,17255,15152,19769,24041,15118,15304,5448,5164,47518,66651,20421,40208,35317
"Nevada County, California",40904,2085,1934,3463,3675,5387,6765,5233,6652,2738,2972,63240,86798,37145,57622,51085
"Madera County, California",44759,2850,2516,4282,4498,7099,8371,5195,6527,1832,1589,52884,69614,21394,42195,35456
"Trinity County, California",5796,577,504,867,769,803,955,556,493,164,108,38497,54856,25964,50189,33409
"San Bernardino County, California",630633,34198,31835,59404,58750,79401,117004,83245,95961,40547,30288,60164,77575,23956,46547,39737
"Placer County, California",140661,5616,4796,8765,9627,12591,21851,18041,27747,15169,16458,84357,109020,41508,74254,58099
"Solano County, California",149067,6100,5323,9438,10274,15969,25215,21756,28449,14073,12470,77609,96029,33700,60730,49969
"Colusa County, California",7113,252,363,890,735,984,1346,1073,781,398,291,56704,82313,27336,41323,32389
"Kings County, California",42735,2329,2404,4089,4685,6570,7666,5962,5610,1943,1477,53865,69985,21186,41785,35959
"Fresno County, California",304624,21380,19989,35375,33605,38742,53091,35192,38001,15704,13545,51261,71663,23284,43618,39089
