Geographic Area Name,race_pop,race_pop_hispanic_or_latino_of_any_race,race_pop_white_alone,race_pop_black_or_african_american_alone,race_pop_american_indian_and_alaska_native_alone,race_pop_asian_alone,race_pop_native_hawaiian_and_other_pacific_islander_alone,race_pop_some_other_race_alone,race_pop_two_or_more_races
"Sabine County, Texas",10458,455,8966,650,1,0,20,53,313
"Sherman County, Texas",3058,1302,1721,9,6,0,0,0,20
"Swisher County, Texas",7484,3254,3514,393,50,17,8,15,233
"Hunt County, Texas",92152,14595,66540,7297,952,1144,43,72,1509
"Camp County, Texas",12813,3159,7176,2122,52,44,0,0,260
"Hansford County, Texas",5547,2618,2911,3,4,0,0,0,11
"Guadalupe County, Texas",155137,58462,78655,11140,274,2578,246,530,3252
"Clay County, Texas",10387,616,9356,59,114,60,0,0,182
"Hill County, Texas",35399,7247,25039,2279,115,120,65,15,519
"Nacogdoches County, Texas",65558,12565,39079,11311,182,1082,7,76,1256
"Parmer County, Texas",9852,6201,3401,107,29,25,0,0,89
"Presidio County, Texas",7123,5956,987,0,0,180,0,0,0
"Val Verde County, Texas",49027,40086,7612,611,64,285,31,0,338
"Ector County, Texas",158342,94453,52830,6704,339,1692,50,325,1949
"Glasscock County, Texas",1430,626,804,0,0,0,0,0,0
"Grimes County, Texas",27630,6616,16163,4165,90,45,0,15,536
"Collin County, Texas",944350,143369,547403,88702,3132,135508,582,2691,22963
"Angelina County, Texas",87607,19174,53216,12834,107,987,5,163,1121
"Cottle County, Texas",1623,382,867,243,5,0,0,89,37
"Hays County, Texas",204150,78334,111288,7421,416,2806,78,423,3384
"Lipscomb County, Texas",3469,1051,2252,18,69,9,0,0,70
"Matagorda County, Texas",36743,15441,16330,3587,98,710,53,0,524
"Pecos County, Texas",15797,10837,4040,567,164,74,17,17,81
"Rockwall County, Texas",93642,16206,67046,5670,224,2300,0,57,2139
"Rusk County, Texas",53595,8855,34324,9131,78,301,22,31,853
"Throckmorton County, Texas",1567,235,1292,16,0,0,0,0,24
"Walker County, Texas",71539,12787,40510,16393,256,911,10,16,656
"Wood County, Texas",43815,4313,36273,2335,277,133,37,34,413
"Aransas County, Texas",24763,6756,16691,365,14,488,0,33,416
"Childress County, Texas",7226,2241,4172,552,69,96,0,0,96
"Coke County, Texas",3275,698,2475,20,44,6,0,0,32
"Coryell County, Texas",75389,13631,44478,9991,472,1476,569,0,4772
"Hemphill County, Texas",4061,1455,2502,34,15,24,0,0,31
"Moore County, Texas",21801,11973,7174,627,97,1713,0,0,217
"Navarro County, Texas",48583,13013,27526,6124,169,309,539,88,815
"San Augustine County, Texas",8327,583,5741,1760,111,0,0,0,132
"Shackelford County, Texas",3311,385,2830,6,10,7,0,0,73
"Starr County, Texas",63894,63299,465,21,7,69,0,12,21
"Upton County, Texas",3634,1837,1525,237,5,25,0,5,0
"Bastrop County, Texas",82577,30389,43757,6097,358,704,0,434,838
"Hall County, Texas",3074,1057,1729,239,3,9,0,0,37
"Franklin County, Texas",10679,1515,8460,408,22,5,8,0,261
"Frio County, Texas",19394,15279,3035,757,9,172,0,23,119
"Lampasas County, Texas",20640,4025,14980,903,25,208,63,78,358
"Mason County, Texas",4161,978,3029,1,12,92,0,0,49
"Dickens County, Texas",2216,673,1463,68,0,12,0,0,0
"Tarrant County, Texas",2019977,576242,958302,319829,5797,106427,3474,3976,45930
"Anderson County, Texas",57863,10142,34312,12127,158,319,9,15,781
"Jackson County, Texas",14820,4873,8717,947,0,134,8,0,141
"Milam County, Texas",24664,6459,15426,2093,28,121,0,12,525
"Comanche County, Texas",13495,3729,9438,87,54,74,0,1,112
"Brooks County, Texas",7180,6741,400,4,0,0,0,0,35
"Titus County, Texas",32730,14015,14871,2953,84,333,0,40,434
"Liberty County, Texas",81862,19098,52825,8062,311,500,8,37,1021
"Wise County, Texas",64639,12300,49868,759,258,281,114,2,1057
